date,claude_cost,chatgpt_cost,total_cost
2026-02-17,5.2144,0.252,5.4664
2026-02-19,0.5529,0.0428,0.5957
2026-02-23,1.8778,0.1756,2.0534
2026-02-24,11.9779,0.5595,12.5374
2026-02-25,1.387,0.0927,1.4797
2026-02-26,6.7771,0.6607,7.4378
2026-02-27,0.0,0.1135,0.1135
2026-03-01,0.0,0.0726,0.0726
2026-03-02,18.2893,1.6593,19.9486
2026-03-03,13.5451,2.8194,16.3645
2026-03-04,10.3218,4.9547,15.2765
2026-03-05,17.9443,8.8111,26.7554
2026-03-06,5.7778,1.9564,7.7342
2026-03-07,33.0588,2.625,35.6838
2026-03-08,15.0906,1.4245,16.5151
2026-03-09,14.1793,2.5104,16.6897
2026-03-10,4.8878,0.5673,5.4551
2026-03-11,3.6289,0.267,3.8959
2026-03-12,3.5953,1.7649,5.3602
2026-03-13,3.546,1.3093,4.8553
2026-03-14,8.8857,3.3075,12.1932
2026-03-15,1.4507,0.9009,2.3516
2026-03-16,14.6324,1.0174,15.6498
2026-03-17,12.3448,3.0072,15.352
2026-03-18,3.0532,1.1346,4.1878
2026-03-19,0.0,0.0132,0.0132
2026-03-20,0.0,0.0177,0.0177
2026-03-21,0.0,0.0176,0.0176
2026-03-22,0.0,0.0176,0.0176
2026-03-23,0.0,0.0177,0.0177
2026-03-24,0.0,0.0177,0.0177
2026-03-25,0.0,0.0176,0.0176
2026-03-26,0.0,0.0176,0.0176
